,Area,AudienceCount,AvgPeople,AvgPrice,BoxOffice,Genre_Main,MovieID,MovieName,ReleaseTime,ShowCount,defaultImage,typeid
1,中国,4476,34,32,144161,喜剧,628183,夏洛特烦恼,2015-09-30,1325136,http://www.cbooo.cn/moviepic/218763.jpg,1
2,中国,4154,25,34,142241,战争,659453,芳华,2017-12-15,1689904,http://www.cbooo.cn/moviepic/236404.jpg,1
3,美国,3710,33,38,142072,动作,348959,侏罗纪世界,2015-06-10,1133801,http://www.cbooo.cn/moviepic/191813.jpg,5
4,美国,3832,18,36,139546,科幻,657862,头号玩家,2018-03-30,2184746,http://www.cbooo.cn/moviepic/219107.jpg,5
5,中国,4013,21,34,136089,爱情,663327,后来的我们,2018-04-28,1926359,http://www.cbooo.cn/moviepic/253823.jpg,1
6,美国,2692,72,50,133986,科幻/动作,303851,阿凡达,2010-01-04,374343,http://www.cbooo.cn/moviepic/45997.jpg,5
7,印度,4319,22,30,129912,喜剧,659327,摔跤吧！爸爸,2017-05-05,1947214,http://www.cbooo.cn/moviepic/232932.jpg,6
8,中国,3927,45,32,127193,喜剧,610009,人再囧途之泰囧,2012-12-12,869007,http://www.cbooo.cn/moviepic/164046.jpg,1
9,中国/中国香港,3105,41,40,124699,奇幻,589797,西游降魔篇,2013-02-10,764900,http://www.cbooo.cn/moviepic/138762.jpg,2
10,美国,3562,25,35,124635,动作,643612,美国队长3：英雄内战,2016-05-06,1420572,http://www.cbooo.cn/moviepic/209122.jpg,5
11,美国,3590,18,34,121183,动画,670102,寻梦环游记,2017-11-24,2009869,http://www.cbooo.cn/moviepic/227434.jpg,5
12,中国,3275,36,37,120101,奇幻,626346,西游记之孙悟空三打白骨精,2016-02-08,918395,http://www.cbooo.cn/moviepic/209180.jpg,1
13,中国香港/中国,3894,25,30,118471,动作,639445,湄公河行动,2016-09-30,1589495,http://www.cbooo.cn/moviepic/228345.jpg,2
14,美国,3294,22,36,117991,动作,659751,加勒比海盗5：死无对证,2017-05-26,1502700,http://www.cbooo.cn/moviepic/151657.jpg,5
15,美国/中国,3341,21,35,117457,奇幻,595849,长城,2016-12-16,1567733,http://www.cbooo.cn/moviepic/153307.jpg,2
16,中国,3398,36,34,116934,喜剧,618111,心花路放,2014-09-30,952992,http://www.cbooo.cn/moviepic/206162.jpg,1
17,中国,3558,39,33,116276,喜剧,629410,煎饼侠,2015-07-17,907601,http://www.cbooo.cn/moviepic/218762.jpg,1
18,美国,3301,20,35,116050,动作,657877,金刚：骷髅岛,2017-03-24,1613110,http://www.cbooo.cn/moviepic/226894.jpg,5
19,美国,3113,23,36,112741,动作,573814,极限特工：终极回归,2017-02-10,1374210,http://www.cbooo.cn/moviepic/125805.jpg,5
0,中国/中国香港,3137,36,36,111818,喜剧,637759,澳门风云3,2016-02-08,873413,http://www.cbooo.cn/moviepic/222326.jpg,2
1,美国/德国,3205,20,35,111182,科幻,623100,生化危机：终章,2017-02-24,1565217,http://www.cbooo.cn/moviepic/194595.jpg,6
